[2025-08-15 09:42:50] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 4 A', payload '{"battery":100,"linkquality":180,"position":0,"state":"CLOSE"}'
[2025-08-15 09:42:50] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 4 B', payload '{"battery":100,"linkquality":180,"position":100,"state":"OPEN"}'
[2025-08-15 09:42:50] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HVAC Closet Lights', payload '{"linkquality":172,"state":"OFF"}'
[2025-08-15 09:42:50] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Crane Lamp', payload '{"brightness":254,"identify":null,"linkquality":160,"state":"OFF"}'
[2025-08-15 09:42:50] info: 	z2m: Zigbee2MQTT started!
[2025-08-15 09:42:55] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/1221051039810110150109113116116_0x60a423fffe1dbdb7/connection_state/config', payload '{"device":{"hw_version":"EZSP v8 6.10.3.0 build 297","identifiers":["zigbee2mqtt_bridge_0x60a423fffe1dbdb7"],"manufacturer":"Zigbee2MQTT","model":"Bridge","name":"Zigbee2MQTT Bridge","sw_version":"2.6.0"},"device_class":"connectivity","entity_category":"diagnostic","name":"Connection state","object_id":"zigbee2mqtt_bridge_connection_state","origin":{"name":"Zigbee2MQTT","sw":"2.6.0","url":"https://www.zigbee2mqtt.io"},"payload_off":"offline","payload_on":"online","state_topic":"zigbee2mqtt/bridge/state","unique_id":"bridge_0x60a423fffe1dbdb7_connection_state_zigbee2mqtt","value_template":"{{ value_json.state }}"}'
[2025-08-15 09:45:39] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/candles', payload '{"linkquality":128,"state":"OFF"}'
[2025-08-15 09:46:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/kitchen_wled_reset', payload '{"linkquality":112,"state":"ON"}'
[2025-08-15 09:46:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HVAC Closet Lights', payload '{"linkquality":112,"state":"OFF"}'
[2025-08-15 09:47:41] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 3 B', payload '{"battery":67,"linkquality":180,"position":100,"state":"OPEN"}'
[2025-08-15 09:47:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 1 A', payload '{"battery":100,"linkquality":188,"position":0,"state":"CLOSE"}'
[2025-08-15 09:50:39] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/candles', payload '{"linkquality":132,"state":"OFF"}'
[2025-08-15 09:51:02] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/kitchen_wled_reset', payload '{"linkquality":112,"state":"ON"}'
[2025-08-15 09:51:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HVAC Closet Lights', payload '{"linkquality":120,"state":"OFF"}'
[2025-08-15 09:52:50] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/health', payload '{"response_time":1755265970476,"os":{"load_average":[1.2,1.1,0.98],"memory_used_mb":3651.18,"memory_percent":22.965},"process":{"uptime_sec":610,"memory_used_mb":103.69,"memory_percent":0.6522},"mqtt":{"connected":true,"queued":0,"published":71,"received":242},"devices":{"0x187a3efffe390622":{"messages":2,"messages_per_sec":0.0037,"leave_count":0,"network_address_changes":0},"0xb43a31fffed4e97c":{"messages":2,"messages_per_sec":0.0039,"leave_count":0,"network_address_changes":0},"0x187a3efffe38fe93":{"messages":2,"messages_per_sec":0.0041,"leave_count":0,"network_address_changes":0},"0xf4b3b1fffee0ce90":{"messages":2,"messages_per_sec":0.0042,"leave_count":0,"network_address_changes":0},"0x00124b00226a6adf":{"messages":2,"messages_per_sec":0.0046,"leave_count":0,"network_address_changes":0},"0x00124b00226a8e56":{"messages":2,"messages_per_sec":0.0049,"leave_count":0,"network_address_changes":0},"0x00124b0023b7bed9":{"messages":2,"messages_per_sec":0.0051,"leave_count":0,"network_address_changes":0},"0xf4b3b1fffee0d993":{"messages":2,"messages_per_sec":0.0051,"leave_count":0,"network_address_changes":0},"0x187a3efffe39122b":{"messages":2,"messages_per_sec":0.0065,"leave_count":0,"network_address_changes":0},"0x187a3efffe3908dd":{"messages":2,"messages_per_sec":0.0066,"leave_count":0,"network_address_changes":0},"0x187a3efffe392346":{"messages":1,"messages_per_sec":0.0126,"leave_count":0,"network_address_changes":0}}}'
[2025-08-15 09:55:39] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/candles', payload '{"linkquality":132,"state":"OFF"}'
[2025-08-15 09:56:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/kitchen_wled_reset', payload '{"linkquality":120,"state":"ON"}'
[2025-08-15 09:56:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HVAC Closet Lights', payload '{"linkquality":112,"state":"OFF"}'
[2025-08-15 10:00:00] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 2 A', payload '{"battery":41,"linkquality":188,"position":29,"state":"CLOSE"}'
[2025-08-15 10:00:00] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 4 A', payload '{"battery":100,"linkquality":188,"position":29,"state":"CLOSE"}'
[2025-08-15 10:00:00] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 2 A', payload '{"battery":41,"linkquality":188,"position":1,"state":"OPEN"}'
[2025-08-15 10:00:01] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Master Bedroom Shade 3 A', payload '{"battery":100,"linkquality":168,"position":29,"state":"CLOSE"}'
